date,time,latitude,longitude,temperature_2m,precipitation,ozone,carbon_dioxide
2026-05-07,2026-05-07T00:00,40.4168,-3.7038,14.9,0.0,68.0,454
2026-05-07,2026-05-07T01:00,40.4168,-3.7038,13.9,0.0,64.0,454
2026-05-07,2026-05-07T02:00,40.4168,-3.7038,13.8,0.0,57.0,454
2026-05-07,2026-05-07T03:00,40.4168,-3.7038,12.2,0.0,55.0,454
2026-05-07,2026-05-07T04:00,40.4168,-3.7038,11.8,0.0,58.0,454
2026-05-07,2026-05-07T05:00,40.4168,-3.7038,11.6,0.1,62.0,453
2026-05-07,2026-05-07T06:00,40.4168,-3.7038,10.9,0.0,61.0,452
2026-05-07,2026-05-07T07:00,40.4168,-3.7038,10.7,0.0,60.0,451
2026-05-07,2026-05-07T08:00,40.4168,-3.7038,10.9,0.0,56.0,450
2026-05-07,2026-05-07T09:00,40.4168,-3.7038,11.9,0.1,59.0,450
2026-05-07,2026-05-07T10:00,40.4168,-3.7038,12.8,0.1,69.0,451
2026-05-07,2026-05-07T11:00,40.4168,-3.7038,15.1,0.0,72.0,451
2026-05-07,2026-05-07T12:00,40.4168,-3.7038,16.4,0.1,78.0,451
2026-05-07,2026-05-07T13:00,40.4168,-3.7038,18.1,0.0,86.0,450
2026-05-07,2026-05-07T14:00,40.4168,-3.7038,12.5,1.1,94.0,450
2026-05-07,2026-05-07T15:00,40.4168,-3.7038,13.9,0.8,99.0,449
2026-05-07,2026-05-07T16:00,40.4168,-3.7038,15.4,1.6,99.0,449
2026-05-07,2026-05-07T17:00,40.4168,-3.7038,16.9,0.0,98.0,449
2026-05-07,2026-05-07T18:00,40.4168,-3.7038,17.9,0.0,101.0,450
2026-05-07,2026-05-07T19:00,40.4168,-3.7038,17.5,0.3,100.0,453
2026-05-07,2026-05-07T20:00,40.4168,-3.7038,13.9,0.4,94.0,455
2026-05-07,2026-05-07T21:00,40.4168,-3.7038,14.1,0.1,82.0,458
2026-05-07,2026-05-07T22:00,40.4168,-3.7038,13.7,0.0,67.0,461
2026-05-07,2026-05-07T23:00,40.4168,-3.7038,13.2,0.0,49.0,462
