source,dataset,date,time,latitude,longitude,station_id,metric,metric_name,value,unit,quality_flag
open_meteo,historical_weather,2026-05-06,2026-05-06T00:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,12.5,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T01:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,11.1,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T02:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,10.9,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T03:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,10.4,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T04:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,9.9,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T05:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,9.4,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T06:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,8.4,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T07:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,7.5,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T08:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,7.8,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T09:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,9.4,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T10:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,11.5,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T11:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,13.8,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T12:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,15.5,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T13:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,17.3,°C,
open_meteo,historical_weather,2026-05-06,2026-05-06T14:00,40.386642,-3.6760864,,temperature_2m,temperature_2m,17.0,°C,
