source,dataset,date,time,latitude,longitude,temperature_2m,temperature_2m_unit,precipitation,precipitation_unit
open_meteo,historical_weather,2026-05-05,2026-05-05T00:00,40.386642,-3.6760864,12.6,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T01:00,40.386642,-3.6760864,12.2,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T02:00,40.386642,-3.6760864,12.4,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T03:00,40.386642,-3.6760864,11.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T04:00,40.386642,-3.6760864,11.2,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T05:00,40.386642,-3.6760864,10.8,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T06:00,40.386642,-3.6760864,10.2,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T07:00,40.386642,-3.6760864,10.1,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T08:00,40.386642,-3.6760864,10.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T09:00,40.386642,-3.6760864,11.6,°C,0.1,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T10:00,40.386642,-3.6760864,12.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T11:00,40.386642,-3.6760864,13.4,°C,0.1,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T12:00,40.386642,-3.6760864,14.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T13:00,40.386642,-3.6760864,15.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T14:00,40.386642,-3.6760864,17.0,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T15:00,40.386642,-3.6760864,18.1,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T16:00,40.386642,-3.6760864,18.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T17:00,40.386642,-3.6760864,19.0,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T18:00,40.386642,-3.6760864,18.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T19:00,40.386642,-3.6760864,17.1,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T20:00,40.386642,-3.6760864,16.0,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T21:00,40.386642,-3.6760864,15.2,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T22:00,40.386642,-3.6760864,14.1,°C,0.0,mm
open_meteo,historical_weather,2026-05-05,2026-05-05T23:00,40.386642,-3.6760864,13.3,°C,0.0,mm
