date,time,latitude,longitude,temperature_2m,precipitation,ozone,carbon_dioxide
2026-05-06,2026-05-06T00:00,40.4168,-3.7038,12.5,0.0,67.0,452
2026-05-06,2026-05-06T01:00,40.4168,-3.7038,11.1,0.0,62.0,455
2026-05-06,2026-05-06T02:00,40.4168,-3.7038,10.9,0.0,55.0,458
2026-05-06,2026-05-06T03:00,40.4168,-3.7038,10.4,0.0,46.0,460
2026-05-06,2026-05-06T04:00,40.4168,-3.7038,9.9,0.0,41.0,462
2026-05-06,2026-05-06T05:00,40.4168,-3.7038,9.4,0.0,35.0,463
2026-05-06,2026-05-06T06:00,40.4168,-3.7038,8.4,0.0,31.0,463
2026-05-06,2026-05-06T07:00,40.4168,-3.7038,7.5,0.0,22.0,462
2026-05-06,2026-05-06T08:00,40.4168,-3.7038,7.8,0.0,17.0,460
2026-05-06,2026-05-06T09:00,40.4168,-3.7038,9.4,0.0,29.0,458
2026-05-06,2026-05-06T10:00,40.4168,-3.7038,11.5,0.0,48.0,455
2026-05-06,2026-05-06T11:00,40.4168,-3.7038,13.8,0.0,60.0,453
2026-05-06,2026-05-06T12:00,40.4168,-3.7038,15.5,0.0,70.0,451
2026-05-06,2026-05-06T13:00,40.4168,-3.7038,17.3,0.0,82.0,449
2026-05-06,2026-05-06T14:00,40.4168,-3.7038,17.0,0.0,94.0,448
2026-05-06,2026-05-06T15:00,40.4168,-3.7038,18.8,0.0,101.0,448
2026-05-06,2026-05-06T16:00,40.4168,-3.7038,19.5,0.0,103.0,448
2026-05-06,2026-05-06T17:00,40.4168,-3.7038,19.9,0.0,105.0,449
2026-05-06,2026-05-06T18:00,40.4168,-3.7038,20.1,0.0,106.0,449
2026-05-06,2026-05-06T19:00,40.4168,-3.7038,20.0,0.0,106.0,449
2026-05-06,2026-05-06T20:00,40.4168,-3.7038,19.2,0.0,101.0,450
2026-05-06,2026-05-06T21:00,40.4168,-3.7038,18.0,0.0,90.0,451
2026-05-06,2026-05-06T22:00,40.4168,-3.7038,16.6,0.0,83.0,453
2026-05-06,2026-05-06T23:00,40.4168,-3.7038,15.4,0.0,74.0,454
