date,source,dataset,metric_name,observations,min_value,avg_value,max_value
2026-05-06,datos_madrid,air_quality_accumulated,benzene,96,0.0,0.3135,3.7
2026-05-06,datos_madrid,air_quality_accumulated,carbon_monoxide,96,0.0,0.2531,0.6
2026-05-06,datos_madrid,air_quality_accumulated,ethylbenzene,96,0.0,0.2406,1.1
2026-05-06,datos_madrid,air_quality_accumulated,nitrogen_dioxide,552,0.0,17.4348,103.0
2026-05-06,datos_madrid,air_quality_accumulated,nitrogen_monoxide,552,0.0,2.1703,27.0
2026-05-06,datos_madrid,air_quality_accumulated,nitrogen_oxides,552,0.0,20.7917,128.0
2026-05-06,datos_madrid,air_quality_accumulated,ozone,312,0.0,77.859,126.0
2026-05-06,datos_madrid,air_quality_accumulated,particles_pm10,336,0.0,9.7738,33.0
2026-05-06,datos_madrid,air_quality_accumulated,particles_pm2_5,264,0.0,4.3485,19.0
2026-05-06,datos_madrid,air_quality_accumulated,sulfur_dioxide,72,0.0,2.9722,5.0
2026-05-06,datos_madrid,air_quality_accumulated,toluene,96,0.0,1.6344,8.1
2026-05-06,open_meteo,historical_weather,precipitation,24,0.0,0.0,0.0
2026-05-06,open_meteo,historical_weather,relative_humidity_2m,24,22.0,47.1667,80.0
2026-05-06,open_meteo,historical_weather,shortwave_radiation,24,0.0,282.1667,840.0
2026-05-06,open_meteo,historical_weather,temperature_2m,24,7.5,14.1625,20.1
2026-05-06,open_meteo,historical_weather,wind_speed_10m,24,0.4,4.8042,9.8
