date,source,dataset,variable,unit,observations,min_value,avg_value,max_value
2026-05-07,open_meteo,air_quality,carbon_dioxide,ppm,24,449.0,452.7083,462.0
2026-05-07,open_meteo,air_quality,ozone,μg/m³,24,49.0,74.5,101.0
2026-05-07,open_meteo,historical_weather,precipitation,mm,24,0.0,0.1958,1.6
2026-05-07,open_meteo,historical_weather,temperature_2m,°C,24,10.7,13.9167,18.1
