source,dataset,date,time,latitude,longitude,temperature_2m,temperature_2m_unit,precipitation,precipitation_unit
open_meteo,historical_weather,2026-05-07,2026-05-07T00:00,40.386642,-3.6760864,14.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T01:00,40.386642,-3.6760864,13.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T02:00,40.386642,-3.6760864,13.8,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T03:00,40.386642,-3.6760864,12.2,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T04:00,40.386642,-3.6760864,11.8,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T05:00,40.386642,-3.6760864,11.6,°C,0.1,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T06:00,40.386642,-3.6760864,10.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T07:00,40.386642,-3.6760864,10.7,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T08:00,40.386642,-3.6760864,10.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T09:00,40.386642,-3.6760864,11.9,°C,0.1,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T10:00,40.386642,-3.6760864,12.8,°C,0.1,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T11:00,40.386642,-3.6760864,15.1,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T12:00,40.386642,-3.6760864,16.4,°C,0.1,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T13:00,40.386642,-3.6760864,18.1,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T14:00,40.386642,-3.6760864,12.5,°C,1.1,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T15:00,40.386642,-3.6760864,13.9,°C,0.8,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T16:00,40.386642,-3.6760864,15.4,°C,1.6,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T17:00,40.386642,-3.6760864,16.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T18:00,40.386642,-3.6760864,17.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T19:00,40.386642,-3.6760864,17.5,°C,0.3,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T20:00,40.386642,-3.6760864,13.9,°C,0.4,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T21:00,40.386642,-3.6760864,14.1,°C,0.1,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T22:00,40.386642,-3.6760864,13.7,°C,0.0,mm
open_meteo,historical_weather,2026-05-07,2026-05-07T23:00,40.386642,-3.6760864,13.2,°C,0.0,mm
