source,dataset,date,time,latitude,longitude,station_id,metric,metric_name,value,unit,quality_flag
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T18:00,,,11,7,nitrogen_monoxide,1.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T19:00,,,11,7,nitrogen_monoxide,3.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T20:00,,,11,7,nitrogen_monoxide,0.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T21:00,,,11,7,nitrogen_monoxide,1.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T22:00,,,11,7,nitrogen_monoxide,1.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T23:00,,,11,7,nitrogen_monoxide,1.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T00:00,,,11,8,nitrogen_dioxide,10.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T01:00,,,11,8,nitrogen_dioxide,6.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T02:00,,,11,8,nitrogen_dioxide,5.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T03:00,,,11,8,nitrogen_dioxide,8.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T04:00,,,11,8,nitrogen_dioxide,9.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T05:00,,,11,8,nitrogen_dioxide,10.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T06:00,,,11,8,nitrogen_dioxide,19.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T07:00,,,11,8,nitrogen_dioxide,36.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T08:00,,,11,8,nitrogen_dioxide,25.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T09:00,,,11,8,nitrogen_dioxide,19.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T10:00,,,11,8,nitrogen_dioxide,20.0,official_unit_by_magnitude,V
datos_madrid,air_quality_accumulated,2026-05-06,2026-05-06T11:00,,,11,8,nitrogen_dioxide,20.0,official_unit_by_magnitude,V
