source,dataset,date,time,latitude,longitude,ozone,ozone_unit,carbon_dioxide,carbon_dioxide_unit
open_meteo,air_quality,2026-05-06,2026-05-06T00:00,40.4,-3.6999989,67.0,μg/m³,452,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T01:00,40.4,-3.6999989,62.0,μg/m³,455,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T02:00,40.4,-3.6999989,55.0,μg/m³,458,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T03:00,40.4,-3.6999989,46.0,μg/m³,460,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T04:00,40.4,-3.6999989,41.0,μg/m³,462,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T05:00,40.4,-3.6999989,35.0,μg/m³,463,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T06:00,40.4,-3.6999989,31.0,μg/m³,463,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T07:00,40.4,-3.6999989,22.0,μg/m³,462,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T08:00,40.4,-3.6999989,17.0,μg/m³,460,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T09:00,40.4,-3.6999989,29.0,μg/m³,458,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T10:00,40.4,-3.6999989,48.0,μg/m³,455,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T11:00,40.4,-3.6999989,60.0,μg/m³,453,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T12:00,40.4,-3.6999989,70.0,μg/m³,451,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T13:00,40.4,-3.6999989,82.0,μg/m³,449,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T14:00,40.4,-3.6999989,94.0,μg/m³,448,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T15:00,40.4,-3.6999989,101.0,μg/m³,448,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T16:00,40.4,-3.6999989,103.0,μg/m³,448,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T17:00,40.4,-3.6999989,105.0,μg/m³,449,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T18:00,40.4,-3.6999989,106.0,μg/m³,449,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T19:00,40.4,-3.6999989,106.0,μg/m³,449,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T20:00,40.4,-3.6999989,101.0,μg/m³,450,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T21:00,40.4,-3.6999989,90.0,μg/m³,451,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T22:00,40.4,-3.6999989,83.0,μg/m³,453,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T23:00,40.4,-3.6999989,74.0,μg/m³,454,ppm
